parameter,var_1,var_2,stable
0.0,0.14667287046069863,0.0491952177189102,true
0.045412709155187685,0.10724471288806661,0.058254895300420544,true
0.10718003356924423,0.05518174440413131,0.07468134636163536,true
0.17967512167619343,0.00582819292136143,0.12104415746255318,true
0.21733209894104683,0.00010384035616337381,0.19614130913010122,true
0.24014953507463097,4.30894540454525e-6,0.2537172569312423,true
0.3278994129788058,2.8617226688602988e-11,0.47117698173156825,true
0.3901209334142941,0.7125523327586424,0.5882352941176471,true
0.4608310797593496,0.7142391727746822,0.5882352941176471,true
0.5315417574642632,0.7142843608929523,0.5882352941176471,true
0.6022524355825674,0.7142856748460462,0.5882352941176471,true
0.6729631137012219,0.7142857131363185,0.5882352941176471,true
0.7436737918198766,0.7142857142522172,0.5882352941176471,true
0.8143844699385313,0.714285714284738,0.5882352941176471,true
0.885095148057186,0.7142857142857143,0.588235294117647,true
0.932824855787278,0.7142857142857143,0.588235294117647,true
0.9646446609406727,0.7142857142857143,0.588235294117647,true
0.9858578643762691,0.7142857142857143,0.588235294117647,true
1.0,0.7142857142857143,0.588235294117647,true
1.0,0.7142857142857143,0.588235294117647,true
1.014142135623731,0.7142857142857143,0.588235294117647,true
1.0353553390593275,0.7142857142857143,0.588235294117647,true
1.0671751442127222,0.7142857142857143,0.588235294117647,true
1.1149048519428142,0.7142857142857143,0.588235294117647,true
1.185615530061469,0.7142857142857143,0.588235294117647,true
1.2563262081801239,0.7142857142857143,0.588235294117647,true
1.3270368862987787,0.7142857142857143,0.588235294117647,true
1.3977475644174335,0.7142857142857143,0.588235294117647,true
1.4684582425360884,0.7142857142857143,0.588235294117647,true
1.5391689206547432,0.7142857142857143,0.588235294117647,true
1.609879598773398,0.7142857142857143,0.588235294117647,true
1.6805902768920529,0.7142857142857143,0.588235294117647,true
1.7513009550107077,0.7142857142857143,0.588235294117647,true
1.8220116331293625,0.7142857142857143,0.588235294117647,true
1.8927223112480174,0.7142857142857143,0.588235294117647,true
1.9634329893666722,0.7142857142857143,0.588235294117647,true
2.034143667485327,0.7142857142857143,0.588235294117647,true
2.1048543456039814,0.7142857142857143,0.588235294117647,true
2.175565023722636,0.7142857142857143,0.588235294117647,true
2.2462757018412907,0.7142857142857143,0.588235294117647,true
2.3169863799599453,0.7142857142857143,0.588235294117647,true
2.3876970580786,0.7142857142857143,0.588235294117647,true
2.4584077361972545,0.7142857142857143,0.588235294117647,true
2.529118414315909,0.7142857142857143,0.588235294117647,true
2.5998290924345637,0.7142857142857143,0.588235294117647,true
2.6705397705532183,0.7142857142857143,0.588235294117647,true
2.741250448671873,0.7142857142857143,0.588235294117647,true
2.8119611267905276,0.7142857142857143,0.588235294117647,true
2.882671804909182,0.7142857142857143,0.588235294117647,true
2.953382483027837,0.7142857142857143,0.588235294117647,true
3.0240931611464914,0.7142857142857143,0.588235294117647,true
3.094803839265146,0.7142857142857143,0.588235294117647,true
3.1655145173838006,0.7142857142857143,0.588235294117647,true
3.2362251955024552,0.7142857142857143,0.588235294117647,true
3.30693587362111,0.7142857142857143,0.588235294117647,true
3.3776465517397645,0.7142857142857143,0.588235294117647,true
3.448357229858419,0.7142857142857143,0.588235294117647,true
3.5190679079770737,0.7142857142857143,0.588235294117647,true
3.5897785860957283,0.7142857142857143,0.588235294117647,true
3.660489264214383,0.7142857142857143,0.588235294117647,true
3.7311999423330375,0.7142857142857143,0.588235294117647,true
3.801910620451692,0.7142857142857143,0.588235294117647,true
3.8726212985703468,0.7142857142857143,0.588235294117647,true
3.9433319766890014,0.7142857142857143,0.588235294117647,true
4.014042654807656,0.7142857142857143,0.588235294117647,true
4.084753332926311,0.7142857142857143,0.588235294117647,true
4.155464011044965,0.7142857142857143,0.588235294117647,true
4.22617468916362,0.7142857142857143,0.588235294117647,true
4.296885367282274,0.7142857142857143,0.588235294117647,true
4.367596045400929,0.7142857142857143,0.588235294117647,true
4.438306723519584,0.7142857142857143,0.588235294117647,true
4.509017401638238,0.7142857142857143,0.588235294117647,true
4.579728079756893,0.7142857142857143,0.588235294117647,true
4.6504387578755475,0.7142857142857143,0.588235294117647,true
4.721149435994202,0.7142857142857143,0.588235294117647,true
4.791860114112857,0.7142857142857143,0.588235294117647,true
4.862570792231511,0.7142857142857143,0.588235294117647,true
4.933281470350166,0.7142857142857143,0.588235294117647,true
5.0,0.7142857142857143,0.588235294117647,true
